REGIONE,COMUNE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA
LAZIO,ROMA,ROMA,RMIC8E0001,PIAZZA DE CUPIS,RMEE8E0024,M. PIZZICAROLI,VIA APPIANI 32,00155,SCUOLA PRIMARIA
LAZIO,LATINA,LATINA,LTIC832008,I.C. G.GIULIANO,LTMM832019,G. GIULIANO,VIA CISTERNA N.6,04100,SCUOLA PRIMO GRADO
LAZIO,MONTEROTONDO,ROMA,RMIC88700G,LOREDANA CAMPANARI,RMEE88701N,L. CAMPANARI,VIA MONTE POLLINO 39,00015,SCUOLA PRIMARIA
LAZIO,ZAGAROLO,ROMA,RMIC8A600D,ISTITUTO COMPRENSIVO ZAGAROLO,RMAA8A601A,MATERNA I.C. ZAGAROLO,COLLE DEI FRATI N.3,00039,SCUOLA INFANZIA
LAZIO,VALMONTONE,ROMA,RMIC8CF00P,MADRE TERESA DI CALCUTTA,RMEE8CF03V,VALMONTONE - SANT'ANNA,VIA DON GUANELLA 9,00038,SCUOLA PRIMARIA
LAZIO,ATINA,FROSINONE,FRIC821006,I.C. ATINA,FREE821029,ATINA CAPOLUOGO,VIALE DELLA CARTIERA,03042,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8G900L,MONTESSORI - M. C. PINI,RMAA8G903G,VILLA PAGANINI,LARGO VILLA PAGANINI 18,00198,SCUOLA INFANZIA
LAZIO,MONTELIBRETTI,ROMA,RMIC8AW00A,MONTELIBRETTI PIAZZA DELLA REPU,RMIC8AW00A,MONTELIBRETTI PIAZZA DELLA REPU,P.ZZA REPUBBLICA 21,00010,ISTITUTO COMPRENSIVO
LAZIO,CERVARO,FROSINONE,FRIC843003,I.C. CERVARO,FREE84306A,CERVARO PORCHIO-MACERINE,VIA SPINA,03044,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8EC00C,I.C. PIAZZA WINCKELMANN,RMAA8EC019,PROTETTORATO S. GIUSEPPE,VIA NOMENTANA 343,00162,SCUOLA INFANZIA
LAZIO,VILLA SANTO STEFANO,FROSINONE,FRIC81200B,I.C. AMASENO,FRMM81203E,S.S. VILLA SANTO STEFANO,VIA DANTE ALIGHIERI,03020,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC8CZ006,"""VIA CAROTENUTO 30""",RMIC8CZ006,"""VIA CAROTENUTO 30""",VIA SCARTAZZINI 21,00125,ISTITUTO COMPRENSIVO
LAZIO,ISOLA DEL LIRI,FROSINONE,FRIC83200L,I.C. ISOLA DEL LIRI,FRMM83201N,ISOLA LIRI SECONDARIA 1' GRADO,VIA GANDUSIO 1,03036,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIS03200G,"I.I.S. ""TOMMASO SALVINI""",RMIS03200G,"I.I.S. ""TOMMASO SALVINI""",VIA SALVINI 20-24,00197,ISTITUTO SUPERIORE
LAZIO,ROMA,ROMA,RMIC8B0005,G. PALLAVICINI,RMAA8B0034,PAPILLO,VIA A.MORAVIA 401,00144,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8E0001,PIAZZA DE CUPIS,RMIC8E0001,PIAZZA DE CUPIS,PIAZZA DE CUPIS20,00155,ISTITUTO COMPRENSIVO
LAZIO,ROMA,ROMA,RMMM67300X,CPIA 4,RMCT70600Q,C.T.P. 07,VIA SABATINI 111,00144,CENTRO TERRITORIALE
LAZIO,LATINA,LATINA,LTIC804004,I.C.ALDO MANUZIO,LTAA804044,TOR TRE PONTI,VIA TOR TRE PUNTI,04010,SCUOLA INFANZIA
